0,0
0.003,0.0594
0.0122,0.1851
0.0279,0.3146
0.0497,0.4348
0.0768,0.5418
0.1085,0.6335
0.1439,0.7086
0.1822,0.7662
0.2225,0.8055
0.2637,0.8249
0.3048,0.8214
0.3443,0.7912
0.3793,0.6992
0.4043,0.4995
0.4229,0.3727
0.4379,0.3
0.4513,0.268
0.465,0.2734
0.4806,0.3134
0.4999,0.3855
0.5242,0.4869
0.555,0.615
0.5931,0.761
0.6387,0.9137
0.6922,1.0688
0.7533,1.2217
0.8218,1.3706
0.8975,1.514
0.9801,1.6519
1.0676,1.7509
1.1569,1.7861
1.2477,1.8158
1.334,1.7259
1.4156,1.6309
1.4977,1.6422
1.582,1.6869
1.6696,1.7508
1.7603,1.8149
1.853,1.8547
1.9456,1.8516
2.0375,1.8384
2.1297,1.8439
2.22,1.8045
2.3021,1.6436
2.3751,1.4587
2.4391,1.2809
2.4948,1.1143
2.5428,0.959
2.5835,0.8132
2.6172,0.6752
2.6444,0.5431
2.6652,0.4155
2.6797,0.291
2.6882,0.1687
