0,0
0.002,0.039
0.0076,0.1141
0.0171,0.1901
0.0305,0.2664
0.0476,0.3426
0.0685,0.4186
0.0933,0.4946
0.1218,0.5704
0.1541,0.646
0.1901,0.7214
0.23,0.7964
0.2735,0.871
0.3207,0.9449
0.3717,1.0182
0.4261,1.0903
0.4842,1.1612
0.5457,1.2303
0.6106,1.297
0.6786,1.3605
0.7496,1.4196
0.8232,1.4727
0.8991,1.5174
0.9764,1.5468
1.0497,1.4661
1.1167,1.34
1.1774,1.2133
1.2318,1.0874
1.2801,0.9669
1.3231,0.8594
1.3622,0.7824
1.3991,0.7381
1.4353,0.7235
1.4721,0.7371
1.5111,0.779
1.5535,0.8486
1.6006,0.9427
1.653,1.0478
1.7111,1.16
1.7748,1.2755
1.8444,1.3913
1.9196,1.5047
2.0003,1.6146
2.0864,1.7205
2.1775,1.8223
2.2735,1.9204
2.3743,2.0151
2.4796,2.1069
2.5893,2.1928
2.6985,2.1845
2.8163,2.3569
2.9382,2.4365
3.0595,2.4266
3.1803,2.4167
3.3006,2.4067
3.4204,2.3964
3.5397,2.3852
3.6584,2.3731
3.7763,2.3595
3.8935,2.344
4.0099,2.3262
4.1252,2.3058
4.2393,2.2823
4.352,2.2553
4.4633,2.2245
4.5728,2.19
4.6803,2.1511
4.7857,2.1082
4.8888,2.0614
4.9893,2.0111
5.0872,1.9579
5.1824,1.9023
5.2745,1.8442
5.3639,1.7875
5.4506,1.7338
5.5348,1.6831
5.6165,1.6352
5.6962,1.5926
5.774,1.5562
5.8503,1.5263
5.9255,1.5043
5.9999,1.4888
6.0739,1.48
6.1478,1.4766
6.2216,1.4775
6.2957,1.4807
6.37,1.4855
6.4445,1.49
6.5187,1.4845
6.5873,1.3727
6.6474,1.2006
6.6986,1.0248
6.7415,0.8571
6.7765,0.7003
6.8041,0.552
6.8247,0.4119
6.8386,0.2775
6.8459,0.1465
